"","cortex astrocytes","Endothelial cells 1","Endothelial cells 3","ME astrocytes","Microglia","Mural cells","Neurons 1","Neurons 2","Neurons 3","Neurons 4","Neurons 5","Neurons 6","Neurons 12","Neurons 13","Oligodendrocytes 1","Oligodendrocytes 2","Oligodendrocytes 3","OPCs","PVMs 1","PVMs 2","Tanycytes 1","T cells"
"Itga7",0.557758592696358,0.0318258008036945,0,0,0.00146655907989257,4.30506529282334,0.0203008374463303,0.0183234997478661,0.114906875005062,0,0,0.163140985017221,0.137557135720985,0.0187057732159241,0.00263464067716589,0.0160688094137153,0.00446381143432082,0,0.00983353787092105,0,0,0
"Itgb1.21",0.86031341641599,5.63571255614784,3.46412819977742,0,3.28924299178809,13.1043899905505,0.246699829447264,0.19887559935764,0.393101978036284,0.657851457140978,1.27032520325203,0.256887569156438,0.195524456970012,0.433993641616916,2.4906974389561,3.94937078396786,2.01953274841736,3.1844365969254,1.93518692590126,2.92327290934836,0,6.63112822012187
"Itgb8.2",2.08326654895509,0.0301538377215449,0.0246453533650766,4.96632798195777,0.0334146866339593,0.0399410918841649,0.365352258550781,0.371300618318273,0.197547713627095,0,0,0.469427431894318,0.146070821850095,0.315629211954587,1.26640645873564,1.77158805137936,1.62230651625909,4.7263864641295,0.0362255839564134,0,0,0.290052142172082
"Nt5e.1",0.0399326863392087,0.00311658521990625,0,0,0.0189491699198633,0,0.0168825328621301,0.0292264033096542,0.0663465779967653,0,0,0.0211782414123989,0.0594378734552693,0,0.288656087719146,0.222304149038156,0.258188089244592,0.484948691114761,0.0297152094327961,0,0,1.03865029320803
"Rpsa",1.34005810334669,4.16982664169189,3.66829194747848,4.00272330927882,5.95928310822785,3.28921105374127,1.38787340600303,1.30685325043232,1.60278867934054,5.93974977102097,1.17226213220022,1.18717463037518,1.64620404080241,1.5241460093352,3.90866318173493,3.53867122837209,4.63082839287803,1.99635297439879,19.7183614200119,4.8703138314142,0,25.5348446474273
"Tmprss6.2",0.00130453443122951,0.00272931723400074,0,0,0,0,0.00284247495734991,0.00238359129601297,0,0,0,0.00772494284369145,0.00559860258879384,0.00955587174873409,0.00139485907947949,0.0171063954572201,0,0,0,0,0,0
"Itga7.1",0.557758592696358,0.0318258008036945,0,0,0.00146655907989257,4.30506529282334,0.0203008374463303,0.0183234997478661,0.114906875005062,0,0,0.163140985017221,0.137557135720985,0.0187057732159241,0.00263464067716589,0.0160688094137153,0.00446381143432082,0,0.00983353787092105,0,0,0
"Itgb1.22",0.86031341641599,5.63571255614784,3.46412819977742,0,3.28924299178809,13.1043899905505,0.246699829447264,0.19887559935764,0.393101978036284,0.657851457140978,1.27032520325203,0.256887569156438,0.195524456970012,0.433993641616916,2.4906974389561,3.94937078396786,2.01953274841736,3.1844365969254,1.93518692590126,2.92327290934836,0,6.63112822012187
"Rpsa.1",1.34005810334669,4.16982664169189,3.66829194747848,4.00272330927882,5.95928310822785,3.28921105374127,1.38787340600303,1.30685325043232,1.60278867934054,5.93974977102097,1.17226213220022,1.18717463037518,1.64620404080241,1.5241460093352,3.90866318173493,3.53867122837209,4.63082839287803,1.99635297439879,19.7183614200119,4.8703138314142,0,25.5348446474273
"Sdc2.4",2.14715188580679,0.0884489600274976,0,0,0.0162455324336971,7.94682205630877,0.351224941544193,0.303234388844497,0.289045426012885,0,0.851426138782461,0.360098633112668,0.452451827843994,0.335320844990329,0.0903989727613824,0.329564911581563,0.0247232738133885,1.44258244981939,0,0.0258409061544425,0,0.19354543164067
