"Ligand_ApprovedSymbol","cECs.1","pericytes.1","cortex.astrocytes"
"Bmp15.3",0.0359024780074858,0,0.0127803282116972
"Bmp2",0.0252387728308252,0,0.00187525628710734
"Bmp2.1",0.0252387728308252,0,0.00187525628710734
"Bmp2.2",0.0252387728308252,0,0.00187525628710734
"Bmp2.3",0.0252387728308252,0,0.00187525628710734
"Bmp2.4",0.0252387728308252,0,0.00187525628710734
"Bmp2.5",0.0252387728308252,0,0.00187525628710734
"Bmp2.6",0.0252387728308252,0,0.00187525628710734
"Bmp2.7",0.0252387728308252,0,0.00187525628710734
"Bmp3",0.0409943917101246,0.0173805124436405,0.0210950984684244
"Bmp4",0.0328036902347926,2.04824620249005,0.0234636525019983
"Bmp4.1",0.0328036902347926,2.04824620249005,0.0234636525019983
"Bmp4.2",0.0328036902347926,2.04824620249005,0.0234636525019983
"Bmp5",0,0.6217997252731,0.00269888529519724
"Bmp6",0,0,0.00563967371995553
"Bmp6.1",0,0,0.00563967371995553
"Bmp6.2",0,0,0.00563967371995553
"Bmp6.3",0,0,0.00563967371995553
"Bmp6.4",0,0,0.00563967371995553
"Bmp7",0,0.0198459826179791,0.623430211712856
"Bmp7.1",0,0.0198459826179791,0.623430211712856
"Bmp7.2",0,0.0198459826179791,0.623430211712856
"Bmp7.3",0,0.0198459826179791,0.623430211712856
"Bmp7.4",0,0.0198459826179791,0.623430211712856
"Bmp7.5",0,0.0198459826179791,0.623430211712856
"Bmp7.6",0,0.0198459826179791,0.623430211712856
"Bst1",0.123863122364787,0.0623298063247901,0.0590881845692904
"Btc",0.0580305573828854,0,0.0390761064466854
"Btc.1",0.0580305573828854,0,0.0390761064466854
"Btc.2",0.0580305573828854,0,0.0390761064466854
"Btc.3",0.0580305573828854,0,0.0390761064466854
"Btla",0,0,0
"Btla.1",0,0,0
"Btla.2",0,0,0
"C1qa",0.0182314190361867,0,0.0115152442304942
"C1qa.1",0.0182314190361867,0,0.0115152442304942
"C1qb",0.0117137001819974,0,0.0111996856377204
"C1qtnf1",0,0,0.00470168886432195
"C1qtnf5",0,0.270268027445366,0.410378442770859
"C3",0,0,0.00151256885151092
"C3.1",0,0,0.00151256885151092
"C3.2",0,0,0.00151256885151092
"C3.3",0,0,0.00151256885151092
"C3.4",0,0,0.00151256885151092
"C3.5",0,0,0.00151256885151092
"C3.6",0,0,0.00151256885151092
"C3.7",0,0,0.00151256885151092
"Hc",0,0,0.0137688378918059
"Hc.1",0,0,0.0137688378918059
"Calca",0,0,0
"Calca.1",0,0,0
"Calca.2",0,0,0
"Calr",3.85817657441224,6.72696563110606,3.86581714122802
"Calr.1",3.85817657441224,6.72696563110606,3.86581714122802
"Calr.2",3.85817657441224,6.72696563110606,3.86581714122802
"Calr.3",3.85817657441224,6.72696563110606,3.86581714122802
"Calr.4",3.85817657441224,6.72696563110606,3.86581714122802
"Calr.5",3.85817657441224,6.72696563110606,3.86581714122802
"Calr.6",3.85817657441224,6.72696563110606,3.86581714122802
"Camp",0,0,0
"Cck",0.246244928185092,0.0745279450959085,0.124421204297272
"Cck.1",0.246244928185092,0.0745279450959085,0.124421204297272
"Ccl11",0,0.0340853976902322,0
"Ccl11.1",0,0.0340853976902322,0
"Ccl11.2",0,0.0340853976902322,0
"Ccl11.3",0,0.0340853976902322,0
"Ccl11.4",0,0.0340853976902322,0
"Ccl11.5",0,0.0340853976902322,0
"Ccl2",0,0,0.00537419811696218
"Ccl2.1",0,0,0.00537419811696218
"Ccl2.2",0,0,0.00537419811696218
"Ccl2.3",0,0,0.00537419811696218
"Ccl2.4",0,0,0.00537419811696218
"Ccl2.5",0,0,0.00537419811696218
"Ccl2.6",0,0,0.00537419811696218
"Ccl17",0,0,0
"Ccl17.1",0,0,0
"Ccl1",0,0,0
"Ccl20",0,0,0
"Ccl20.1",0,0,0
"Ccl22",0,0,0
"Ccl24",0,0,0
