"","Ligand_ApprovedSymbol","B2.tanycytes 1","Plvap.ECs","ME.astrocytes 1","ME.astrocytes 2","Gfap.high astrocytes","fibroblasts.1","ME.pericytes"
"1817","Emcn",0.00820544531900804,26.044549359169,0.00091241448131688,0,0,0.412484719165556,0
"1818","Itm2b",15.993837658155,56.2935339706204,19.9677548328312,19.0201283631594,27.1526538252107,33.0011902127258,0
"1819","Cd47",1.99307882246228,5.62930966979045,3.33559380182725,3.10257697024651,2.74466694936637,4.31665753510445,0
"1820","Cd47",1.99307882246228,5.62930966979045,3.33559380182725,3.10257697024651,2.74466694936637,4.31665753510445,0
"1821","Cd47",1.99307882246228,5.62930966979045,3.33559380182725,3.10257697024651,2.74466694936637,4.31665753510445,0
"1822","Cd47",1.99307882246228,5.62930966979045,3.33559380182725,3.10257697024651,2.74466694936637,4.31665753510445,0
"1823","Cd47",1.99307882246228,5.62930966979045,3.33559380182725,3.10257697024651,2.74466694936637,4.31665753510445,0
"1824","Cd47",1.99307882246228,5.62930966979045,3.33559380182725,3.10257697024651,2.74466694936637,4.31665753510445,0
"1825","Cd47",1.99307882246228,5.62930966979045,3.33559380182725,3.10257697024651,2.74466694936637,4.31665753510445,0
"1826","Cd47",1.99307882246228,5.62930966979045,3.33559380182725,3.10257697024651,2.74466694936637,4.31665753510445,0
"1827","Cd47",1.99307882246228,5.62930966979045,3.33559380182725,3.10257697024651,2.74466694936637,4.31665753510445,0
"1828","Jak1",1.78248842801173,3.83075957442008,2.44365598325284,2.2080483507378,2.70636263840116,3.17771213804218,0
"1829","Jak1",1.78248842801173,3.83075957442008,2.44365598325284,2.2080483507378,2.70636263840116,3.17771213804218,0
"1830","Jak1",1.78248842801173,3.83075957442008,2.44365598325284,2.2080483507378,2.70636263840116,3.17771213804218,0
"1831","Jak1",1.78248842801173,3.83075957442008,2.44365598325284,2.2080483507378,2.70636263840116,3.17771213804218,0
"1832","Jak1",1.78248842801173,3.83075957442008,2.44365598325284,2.2080483507378,2.70636263840116,3.17771213804218,0
"1833","Jak1",1.78248842801173,3.83075957442008,2.44365598325284,2.2080483507378,2.70636263840116,3.17771213804218,0
