"Receptor_ApprovedSymbol","B2.tanycytes 1","Plvap.ECs","ME.astrocytes 1","ME.astrocytes 2","Gfap.high astrocytes","fibroblasts.1","ME.pericytes"
"Adipor1",0.955288704518305,1.69880918885809,0.557821123851355,0.698847012259412,0.888082069588529,0.556638177205891,6
"Adipor2",0.823547929716081,0.844182943557593,0.521230055130952,0.453173873414267,0.593702275277315,0.267577675929349,0
"Calcr",0,0,0.00109466749294707,0.00104212840904484,0,0,0
"Calcrl",0.00066665700119819,2.19952740573343,0.00954931586909247,0,0.00638261918447399,1.33058411794503,0
"Ramp1",0.0260574188388527,0.0325812720635735,2.74053596520128,3.80916200482141,2.98259982213779,0,2.88235294117647
"Calcr",0,0,0.00109466749294707,0.00104212840904484,0,0,0
"Calcrl",0.00066665700119819,2.19952740573343,0.00954931586909247,0,0.00638261918447399,1.33058411794503,0
"Gpr182",0.0292331173922103,0.557862224433628,0.014498329303152,0.00646067711425132,0,0.00648908959758358,2.47058823529412
"Ramp2",0.231960291736052,3.82240942024005,0.315927451364508,0.538726441487743,0.730155304014545,2.93928381621961,0
"Atp1a3",0.0476983719818795,0.0900271753416045,0.0502666178823387,0.101375365698626,0.0490792876936795,0,0
"Lrp4",0.326374687799091,0.166949043882106,0.785254797388899,1.48295418773899,0.89727817861553,0.380587382330551,0
"Musk",0.00418212391095869,0,0.0043603569483971,0.0118614738325241,0.00446552044651719,0.0417022800757109,0
"Mc3r",0.00113258078507017,0,0.00505482300546815,0,0,0,0
"Mc4r",0,0,0.0002678983868749,0,0,0,0
"Mc5r",0,0,0,0,0,0,0
"Sdc3",4.04058183036382,0.977637312886285,3.99581866927813,4.09525253426661,3.31269058038458,1.90908052418703,10.2352941176471
"Agtr1a",0.00444519033456834,0.170433949457236,0.0066136485051767,0,0,0.0965682204786452,0
"Agtr2",0,0,0,0,0,0.0128421864038721,0
"Lrp2",0.735484346556366,0,0.00825989968806735,0.0208002698758761,0.024330392102351,0,0
"Mas1",0,0,0,0,0,0,0
"Insr",0.571104509611162,1.5295421542128,0.553518240334709,0.614958765696423,0.401559515377561,0.324352483855141,4.58823529411765
"Lrp2",0.735484346556366,0,0.00825989968806735,0.0208002698758761,0.024330392102351,0,0
"Lamp1",2.00160137074213,2.74000834824205,7.00607244768698,8.0131776744456,8.71254489442934,4.1659923562532,11.9411764705882
"Acvr1",1.35672452825222,0.325023716279061,0.462943440287152,0.353899689642321,0.343848453142641,0.910807081928841,0
