"","cortex astrocytes","Endothelial cells 1","Endothelial cells 3","ME astrocytes","Microglia","Mural cells","Neurons 1","Neurons 2","Neurons 3","Neurons 4","Neurons 5","Neurons 6","Neurons 12","Neurons 13","Oligodendrocytes 1","Oligodendrocytes 2","Oligodendrocytes 3","OPCs","PVMs 1","PVMs 2","Tanycytes 1","T cells"
"Adm.3",0.0112727903846192,0.318224258180976,0.170922842986102,0,0.0485565543719052,0.230818515576769,0.0222991598633121,0.0151688609740401,0.0277684165890787,0,0,0.0209380439855673,0.115572195279426,0.0438446928217852,0.00171267279602523,0.0273229513673733,0.0245771826831106,0.451272438357447,0.0899450308179482,0.0266211386038455,0,0
"Agrn",0.721284784233423,4.20085483741277,3.16331188653199,0,0.0735171132649828,2.48960218011641,0.975042290940238,1.32864442725259,1.51376648050081,0,1.12754719025142,0.665919136464806,0.861170468765164,1.18453560581442,0.3177917109002,0.862070287823107,0.370694079161707,1.92958732303341,0.072697713318041,0.203883840128625,0,0.164581961816985
"Agrn.1",0.721284784233423,4.20085483741277,3.16331188653199,0,0.0735171132649828,2.48960218011641,0.975042290940238,1.32864442725259,1.51376648050081,0,1.12754719025142,0.665919136464806,0.861170468765164,1.18453560581442,0.3177917109002,0.862070287823107,0.370694079161707,1.92958732303341,0.072697713318041,0.203883840128625,0,0.164581961816985
"Agrn.2",0.721284784233423,4.20085483741277,3.16331188653199,0,0.0735171132649828,2.48960218011641,0.975042290940238,1.32864442725259,1.51376648050081,0,1.12754719025142,0.665919136464806,0.861170468765164,1.18453560581442,0.3177917109002,0.862070287823107,0.370694079161707,1.92958732303341,0.072697713318041,0.203883840128625,0,0.164581961816985
"Agrp",0.00115334666602079,0,0,0,0,0,0.0026168189587537,0.00101311206271413,0.0187733141094597,10.732667530191,0,0.000760414176310239,0,0,0.00909552300166812,0,0,0.0145304640863459,0,0,0,0
"Agrp.1",0.00115334666602079,0,0,0,0,0,0.0026168189587537,0.00101311206271413,0.0187733141094597,10.732667530191,0,0.000760414176310239,0,0,0.00909552300166812,0,0,0.0145304640863459,0,0,0,0
"Agrp.2",0.00115334666602079,0,0,0,0,0,0.0026168189587537,0.00101311206271413,0.0187733141094597,10.732667530191,0,0.000760414176310239,0,0,0.00909552300166812,0,0,0.0145304640863459,0,0,0,0
"Agrp.3",0.00115334666602079,0,0,0,0,0,0.0026168189587537,0.00101311206271413,0.0187733141094597,10.732667530191,0,0.000760414176310239,0,0,0.00909552300166812,0,0,0.0145304640863459,0,0,0,0
"Agt",0.824668152446651,0,0,17.5218677536303,0,0.00927275627116507,0.0143204375452946,0.0342916794181201,0.0139528871417082,0,0,0.000900365548412655,0,0,0.00986719899107744,0.00526068468074154,0.00847163273777755,0,0,0,0,0
"Agt.1",0.824668152446651,0,0,17.5218677536303,0,0.00927275627116507,0.0143204375452946,0.0342916794181201,0.0139528871417082,0,0,0.000900365548412655,0,0,0.00986719899107744,0.00526068468074154,0.00847163273777755,0,0,0,0,0
"Agt.2",0.824668152446651,0,0,17.5218677536303,0,0.00927275627116507,0.0143204375452946,0.0342916794181201,0.0139528871417082,0,0,0.000900365548412655,0,0,0.00986719899107744,0.00526068468074154,0.00847163273777755,0,0,0,0,0
"Agt.3",0.824668152446651,0,0,17.5218677536303,0,0.00927275627116507,0.0143204375452946,0.0342916794181201,0.0139528871417082,0,0,0.000900365548412655,0,0,0.00986719899107744,0.00526068468074154,0.00847163273777755,0,0,0,0,0
"Ahsg",0.00124427033050017,0.00407738884018674,0,0,0,0,0.0018185077171907,0.00155179362386756,0,0,0,0.00243364643040382,0.00863298421545166,0,0.000930399424194404,0.00248694787581078,0,0,0,0,0,0
"Alb",0.0011605369655129,0.00562505625056251,0,0,0.00335538983640273,0.0100011752238796,0.00231546383996924,0.00387101773302978,0,0,0,0.00334479483455888,0.00857224289561925,0,0,0,0,0.0140087095845787,0,0,0,0
"Amelx",0.0018359964048676,0,0,0,0.00579217044229931,0,0.00279478981048143,0.000541245901949605,0.00232463478244092,0,0,0.0021781878234339,0,0.0059844153854532,0,0,0,0.00350079993278464,0.0873515024458421,0,0,0
"Amh",0.00297874260315729,0,0,0,0,0,0.000689011073094999,0.000844348775901143,0,0,0,0.00210678722177054,0,0,0.00114765499654556,0.00154603473012418,0,0,0,0,0,0
