"Receptor_ApprovedSymbol","cECs.1","pericytes.1","cortex.astrocytes"
"Lrp2.2",0,0.0172492139026256,0.00624937123214078
"Lsr",3.05443902060254,0,0.0243413433167368
"Olr1",0,0,0.00248904873828906
"Lepr",0.148912619678342,0.02367766756474,0.0140614045686444
"Ldlr.1",0.529313165391275,2.93351004917034,1.83841644306226
"Lrp1.1",0.0511969065054449,4.16004694737106,2.64922681385911
"Lrp2.3",0,0.0172492139026256,0.00624937123214078
"Lrp5",0.853193870549784,1.1138677001597,0.311501980076059
"Lrp8",2.53209122746999,0,0.714057655239907
"Scarb1",2.88773039331313,1.18771038776266,0.237839885072129
"Sorl1",0.0858838902322627,0.0846522548592863,1.49966291403228
"Vldlr",0,0.041531689236902,0.397509966085963
"Cav1",3.03026017216346,0.0731830475858647,0.0151885776458493
"Cd74",0,0,0.0119624182495799
"Fpr2.1",0,0,0
"Gpc1",0,0.0348405367191102,0.0982022586185453
"Lrp1.2",0.0511969065054449,4.16004694737106,2.64922681385911
"Ncstn",0.41926288171826,0.674106061559551,0.366842348150883
"Tnfrsf21",0.406008227081851,4.62561976702261,0.136778555100383
"Egfr.2",0.0317612664755127,0.235963377915261,1.63781937177375
"Erbb3",0.0174109733227605,0,0.00075292844770717
"Chrm3",0.0177380046980204,0,0.0112214318045493
"Insr.1",1.40956765761817,0.422276851119824,0.607581530693606
"Pld2",0.189197927618111,0.0943385382354407,0.694846158959709
"Gfra1",0.026648251488425,0.0182732054298261,0.19384438808671
"Gfra3",0,0,0
"Ret",0.290890368231151,0,0
"Atrn",0.918799668365481,1.02973777473804,0.85707305148343
"F11r",2.98506515637085,0.462103059827031,0.00996949206478015
"Mc1r",0.142664407180763,0.148709044437975,0.333748895748141
"Mc2r",0,0,0
"Mc3r.1",0,0,0.00060133837319722
"Mc4r.1",0,0,0
"Mc5r.1",0,0,0
"Avpr1a",0,0,0
"Avpr1b",0.0456234673544629,0,0.00755851500735859
"Avpr2",0,0,0
"Oxtr",0,0,0
"Itgav.3",0.110607530152958,1.20868976967718,2.07659069026253
"Hfe",0.0989110458412379,0.133751725961972,0.0887557473489766
"Ngfr",0,0.01769177900991,0.0255441793197699
